,Province/State,Country/Region,06/16/2020,06/15/2020,06/14/2020,06/13/2020,06/12/2020,06/11/2020,06/10/2020,06/09/2020,06/08/2020,06/05/2020,06/04/2020
0,Baden-Württemberg,Germany,"1,808","1,805","1,805","1,805","1,802","1,801","1,798","1,795","1,791","1,778","1,761"
1,Bayern,Germany,"2,540","2,541","2,541","2,540","2,538","2,536","2,531","2,521","2,505","2,481","2,479"
2,Berlin,Germany,208,208,208,208,208,208,206,205,205,200,200
3,Brandenburg,Germany,163,163,163,163,161,161,160,160,160,156,156
4,Bremen,Germany,48,48,46,45,45,43,43,43,44,44,44
5,Hamburg,Germany,255,255,255,255,254,254,254,254,254,253,253
6,Hessen,Germany,495,491,491,491,489,489,485,484,484,482,482
7,Mecklenburg-Vorpommern,Germany,20,20,20,20,20,20,20,20,20,20,20
8,Niedersachsen,Germany,614,614,614,613,610,610,607,606,605,604,601
9,Nordrhein-Westfalen,Germany,"1,648","1,646","1,645","1,643","1,643","1,641","1,636","1,635","1,623","1,617","1,611"
10,Rheinland-Pfalz,Germany,231,231,231,231,231,231,231,230,230,230,230
11,Saarland,Germany,168,168,168,168,168,167,167,167,166,166,164
12,Sachsen,Germany,220,219,218,219,219,219,217,217,214,212,212
13,Sachsen-Anhalt,Germany,57,57,57,56,56,56,56,56,56,55,55
14,Schleswig-Holstein,Germany,151,151,151,150,148,148,148,148,147,146,146
15,Thüringen,Germany,174,174,174,174,171,171,170,170,170,169,167
